Band,Country,MDGenre,MAGenre,noOfAlbums,ytVideo
1000MODS,Greece,psychedelic stoner rock,,0,https://www.youtube-nocookie.com/embed/tkLA91QXBkQ
A SERENADE TO KILL,Austria,melodic core metal,,0,https://www.youtube-nocookie.com/embed/LdK7ZCwaUro
ALIEN WEAPONRY,New Zealand,thrash metal,,0,https://www.youtube-nocookie.com/embed/Lx_xGv70Yyo
ANAKIM,United Kingdom,death metal,Death Metal,1,https://www.youtube-nocookie.com/embed/ycdal4TF6LM
AND THERE WILL BE BLOOD,Germany,Melodic Death Metal,Metalcore/Melodic Death Metal,4,https://www.youtube-nocookie.com/embed/Gu3S3eps0hE
ANY GIVEN DAY,Germany,deathcore,,0,https://www.youtube-nocookie.com/embed/ZZpVQagvYRA
ARMAHDA,Brazil,HEAVY METAL,Heavy/Power Metal,2,https://www.youtube-nocookie.com/embed/Hl0ZXfnH4x8
ASOMVEL,UK,HEAVY METAL,Heavy Metal,7,
ASYLUM PYRE,France,melodic,Progressive/Power Metal,4,https://www.youtube-nocookie.com/embed/3_nnDc6s2ZA
ATER ERA,Slovenia,black metal,Black Metal,3,https://www.youtube-nocookie.com/embed/xz0NO3ShXxo
ATHIRIA,Austria,death metal,Death Metal,3,https://www.youtube-nocookie.com/embed/ona2hB6uLmc
ATTIC,Germany,HEAVY METAL,Heavy Metal,4,https://www.youtube-nocookie.com/embed/wAuNXL8yDqw
BATTLE BEAST,Finland,HEAVY METAL,Heavy Metal,12,https://www.youtube-nocookie.com/embed/P3k7r_U8b40
BATTLESWORD,Germany,HEAVY METAL,Melodic Death Metal,4,https://www.youtube-nocookie.com/embed/QSr1auEeetA
BELPHEGOR,Austria,death  / black metal diabolical,Death/Black Metal,19,https://www.youtube-nocookie.com/embed/tyDaEXtnYIo
BIRDFLESH,Sweden,Grindcore,Grindcore,27,https://www.youtube-nocookie.com/embed/ui5rBjASn1M
BLACK REAPER,Slovenia,thrash metal,Thrash Metal,2,https://www.youtube-nocookie.com/embed/Z6rdqjWrjoU
BLEEDING GODS,The Netherlands,death metal,Thrash/Death Metal,3,https://www.youtube-nocookie.com/embed/bakhuYIHAfo
BOLZER,2 guys for 1 extreme metal band,black metal death metal,Black/Death Metal,5,https://www.youtube-nocookie.com/embed/SsfcRidDEnQ
BRUTART,Slovenia,death doom,Death/Doom Metal,3,https://www.youtube-nocookie.com/embed/QvFWQjUbqQA
CARONTE,Italy,shamanic doom,Doom/Stoner Metal,7,https://www.youtube-nocookie.com/embed/2JVPRHkykaM
CARPATHIAN FOREST,Norway,black metal,Black Metal,19,https://www.youtube-nocookie.com/embed/3VI0kVbkZ
CARRION,Belgium,death metal,Death Metal,4,https://www.youtube-nocookie.com/embed/-buxKozN0yg
CHRONOSPHERE,Greece,thrash metal,Thrash Metal,3,https://www.youtube-nocookie.com/embed/gAnmdXcAeYU
COLD SNAP,Croatia,groove metal,,0,https://www.youtube.com/embed/f2jJrTKNmrI
COPIA,Australia,,,0,https://www.youtube-nocookie.com/embed/wbJIKc3aH2s
CROWN THE FALLEN,Austria,metal,Melodic Death Metal,2,https://www.youtube-nocookie.com/embed/SEyvNaJJRVo
DARKENED NOCTURN SLAUGHTERCULT,Germany,black metal,Black Metal,10,https://www.youtube-nocookie.com/embed/jsr0pwihGto
DAWNLESS,Switzerland,melodic,Progressive Power Metal,3,https://www.youtube-nocookie.com/embed/xpcjz4Bm8JA
DEATH ALLEY,Holland,,,0,https://www.youtube-nocookie.com/embed/9oF7yvz7iKQ
DEKADENT,Slovenia,black metal,Atmospheric Black Metal,7,https://www.youtube-nocookie.com/embed/krRZBFyVDyc
DEMONICAL,Sweden,death metal,Death Metal,11,https://www.youtube-nocookie.com/embed/geZPgyp2iM0
DIAMOND HEAD,United Kingdom,NWOBHM,NWOBHM (early), Hard Rock (later),41,https://www.youtube-nocookie.com/embed/mbgv587ooNM
DREAMSPIRIT,China,HEAVY METAL,Heavy/Folk Metal,6,https://www.youtube-nocookie.com/embed/ypBArDhXM44
DUST BOLT,Germany,thrash metal,Thrash Metal,4,https://www.youtube-nocookie.com/embed/RfZCQ5XBAbo
DYING GORGEOUS LIES,Germany,metal,Heavy/Thrash Metal,5,https://www.youtube-nocookie.com/embed/uB2y3Y3lPYU
EVENDIM,Finland,folk metal,,0,https://www.youtube-nocookie.com/embed/6EDKclSToEs
EXIST IMMORTAL,United Kingdom,metalcore,,0,https://www.youtube-nocookie.com/embed/QcLCAysxfCI
FEARANCY,Austria,industrial metal groove metal,,0,https://www.youtube-nocookie.com/embed/K_63SH3tasw
FIRTAN,Germany,black metal,Pagan/Black Metal,4,https://www.youtube-nocookie.com/embed/_Weu0J7xkZw
FORJA,Spain,folk metal,Folk/Power Metal,3,https://www.youtube-nocookie.com/embed/zKei2JIvbrI
GIRLSCHOOL,United Kingdom,NWOBHM,Heavy Metal, NWOBHM,65,https://www.youtube-nocookie.com/embed/8gC667kIk9s
GOATWHORE,USA,metal,Black/Death/Thrash Metal,11,https://www.youtube-nocookie.com/embed/9FT5FowymII
GRUESOME,USA,death metal,death metal,7,
GUT,Germany,Grindcore,Brutal Death Metal,1,https://www.youtube-nocookie.com/embed/da8rGg1qx2k
HANGAR 55,Slovenia,HEAVY METAL hard rock,Heavy Metal,1,https://www.youtube-nocookie.com/embed/npuBDOqsS9w
HARAKIRI FOR THE SKY,Austria,Post Black Metal,Post-Black Metal,6,https://www.youtube-nocookie.com/embed/adtaUUns1YY
HATE,Poland,Extreme metal,,0,https://www.youtube-nocookie.com/embed/YpOdLGtmDw4
HEART ATTACK,France,groove thrash metal,Thrash/Groove Metal,3,https://www.youtube-nocookie.com/embed/ZrCFpfQomIQ
HECATE ENTHRONED,United Kingdom,death metal,Melodic Black/Death Metal,12,https://www.youtube-nocookie.com/embed/9m9BhxXwl48
HEXA MERA,Belgium,Melodic Death Metal,Melodic Death Metal,4,https://www.youtube-nocookie.com/embed/5NZaokSpwok
INGESTED,United Kingdom,slamming death,Brutal Death Metal/Deathcore,6,https://www.youtube-nocookie.com/embed/RXEEuCxcTys
JIG AI,Czech Republic,,Death Metal/Goregrind,5,https://www.youtube-nocookie.com/embed/TFwy8yxkro8
JINJER,Ukraine,Progressive,,0,https://www.youtube-nocookie.com/embed/SQNtGoM3FVU
LORDS OF BLACK,Spain,HEAVY METAL,Heavy Metal,3,https://www.youtube-nocookie.com/embed/wOVX5geh4CY
MALEMORT,France,Free Metal,,0,https://www.youtube-nocookie.com/embed/ujslsZn3520
MANTAR,Germany,Black Metal Doom Punk,Sludge Metal,8,https://www.youtube-nocookie.com/embed/faXx3ac9XPQ
MASTER,USA,death metal,death metal,1,https://www.youtube-nocookie.com/embed/hC5mxwKRxi0
MEMBRANCE,Italy,death metal,Death Metal,7,https://www.youtube-nocookie.com/embed/nLtwtKd0zJ4
MONARCH,France,doom metal,doom metal,2,https://www.youtube-nocookie.com/embed/5Z5OYt1DZhE
MONUMENT,UK,HEAVY METAL,heavy metal,12,
MOROS,Austria,death thrash,Death/Thrash Metal,1,https://www.youtube-nocookie.com/embed/CIdPspc7E8s
MOROST,Slovenia,death groove metal,Progressive Death Metal,1,https://www.youtube-nocookie.com/embed/2
MYRKUR,Denmark,,,0,https://www.youtube-nocookie.com/embed/M9cNZQIzShc
NORDJEVEL,Norway,black metal,Black Metal,2,https://www.youtube-nocookie.com/embed/VttRtQPAm7w
OMEGA SUN,Slovenia,fuzz,Stoner/Doom Metal,3,https://www.youtube-nocookie.com/embed/3qXtKLpZ_GI
OMOPHAGIA,Switzerland,death metal,Death Metal,3,https://www.youtube-nocookie.com/embed/ACsjGT_ivJE
ORCUS O DIS,Mexico,Melodic Death Metal,Melodic Death Metal,3,https://www.youtube-nocookie.com/embed/PFV6XLtEzLo
OUBLIETTE,USA,Extreme metal,,0,https://www.youtube-nocookie.com/embed/rYqftRrpSVU
PALLBEARER,USA,doom metal,Doom Metal,9,https://www.youtube-nocookie.com/embed/DNl_18Kr56g
PICTURA POESIS ,The Netherlands,symphonic metal,Symphonic Death Metal,3,https://www.youtube-nocookie.com/embed/71DSUE02wVM
PILLORIAN,USA,black metal,Black Metal,2,https://www.youtube-nocookie.com/embed/rBYHAqYhT_s
PRIMORDIAL,Ireland,Primordial metal,Celtic Folk/Black Metal,19,https://www.youtube-nocookie.com/embed/FpuwbyM5BKc
RAGE,Germany,HEAVY METAL speed metal,,0,https://www.youtube-nocookie.com/embed/JRfOdGlafuA
REJECT THE SICKNESS,Belgium,metalcore melodic,Melodic Death Metal/Metalcore,3,https://www.youtube-nocookie.com/embed/oBE1Z6fjtSY
ROTTEN SOUND,Finland,Grindcore death metal,Grindcore,25,https://www.youtube-nocookie.com/embed/ttdQnPakmPQ
SAILLE,Belgium,black metal,Symphonic Black Metal,4,https://www.youtube-nocookie.com/embed/tyvK4HLTEI0
SASQUATCH,Germany,,Death Metal,1,https://www.youtube-nocookie.com/embed/M8iaCEVXkxY
SCHAMMASCH,Switzerland,,Black/Death Metal (early), Avant-garde/Black Metal (later),4,https://www.youtube-nocookie.com/embed/A3xZDdVq2kQ
SELVANS,Italy,,Atmospheric Folk/Black Metal,5,https://www.youtube-nocookie.com/embed/WUb5dM13_O4
SHADE EMPIRE,Finland,Symphonic extreme metal,Melodic Industrial Death/Black Metal,10,https://www.youtube-nocookie.com/embed/j6WNWFmnJnE
SHINING,Sweden,Extreme metal,Black Metal,25,https://www.youtube-nocookie.com/embed/QO1JZ0qTSuE
SINISTRO,Portugal,ambient,Sludge/Doom/Post-Metal,4,https://www.youtube-nocookie.com/embed/kn3vhROe5WQ
SISTERS OF SUFFOCATION,Netherlands,death metal,Death Metal,3,
SKELETONWITCH,USA,metal,Melodic Death/Thrash Metal,16,https://www.youtube-nocookie.com/embed/ZgHDonZa7ws
SLEEPERS' GUILT,Luxembourg,Progressive melodic,Melodic Death Metal,4,
SOBER ASSAULT,Slovenia,,Melodic Thrash/Death Metal,2,https://www.youtube-nocookie.com/embed/DWFMYg2O1Iw
SORCERER,Sweden,doom metal,Epic Doom Metal,8,https://www.youtube-nocookie.com/embed/lSrCwjtp5GY
SOULFLY,Brazil/USA,metal,Nu-Metal with tribal influences (early), Groove/Thrash/Death Metal (later),27,
SPLINTERBOMB,The Netherlands,groove thrash metal,Thrash/Groove Metal,2,https://www.youtube-nocookie.com/embed/hhQTPIGAgig
STORM SEEKER,Germany,folk metal,Folk Metal,1,https://www.youtube-nocookie.com/embed/B65Vr6O9QI4
SUPREME CARNAGE,Germany,death metal,Death Metal,4,https://www.youtube-nocookie.com/embed/bf_zymR70BE
TEN TON SLUG,UK,Sludge,Sludge/Groove Metal,4,https://www.youtube-nocookie.com/embed/CVFxVNxvSWo
TESSERACT,UK,Progressive Metal,,0,
THE BEARDED BASTARDS,France,hardcore thrash,,0,https://www.youtube-nocookie.com/embed/pQcO6wHKzGU
THE LURKING FEAR,Sweden / UK,,Death Metal,2,https://www.youtube-nocookie.com/embed/_8f0HTqE3NM
THURISAZ,Belgium,atmospheric avantgarde metal,Atmospheric Death/Black Metal,6,https://www.youtube-nocookie.com/embed/8draqX6eL_4
TREMONTI,USA,metal  heavy rock,,0,https://www.youtube-nocookie.com/embed/9HghPn3v4e4
TROLLORT,Switzerland,black folk metal,Folk Metal,3,https://www.youtube-nocookie.com/embed/lYkr8W84jpw
TURBOWARRIOR OF STEEL,Belgium,Crossover party thrash,Thrash Metal, Punk,3,https://www.youtube-nocookie.com/embed/93g7K8_aSJM
TYRMFAR,Switzerland,black metal death metal,Melodic Black Metal,2,
VAD,Spain,black metal,Pagan Black Metal,1,https://www.youtube-nocookie.com/embed/gZwiTSP02oU
